seed,generation,best_fitness,mean_fitness
0,0,-133.0293,-35714420.6726
0,1,-132.4458,-134.5895
0,2,-132.4458,-134.1004
0,3,-132.4100,-134.1190
0,4,-132.3450,-134.0397
0,5,-132.3450,-133.8293
0,6,-132.3450,-133.6248
0,7,-132.3450,-133.3936
0,8,-132.3450,-133.3528
0,9,-132.3450,-133.4025
0,10,-132.3450,-133.0515
0,11,-132.2703,-133.5344
0,12,-132.2703,-133.3184
0,13,-132.2703,-133.3690
0,14,-132.2703,-133.5229
0,15,-132.2165,-133.1985
0,16,-132.2165,-133.4120
0,17,-132.2153,-133.4471
0,18,-132.2153,-132.8842
0,19,-132.2153,-133.3196
0,20,-132.2153,-133.1690
0,21,-132.2153,-133.5865
0,22,-132.2153,-133.4789
0,23,-132.2153,-132.9842
0,24,-132.2153,-133.2800
0,25,-132.2153,-133.0652
0,26,-132.2153,-133.4359
0,27,-132.2153,-133.7584
0,28,-132.2153,-133.0726
0,29,-132.2076,-133.1125
0,30,-132.2076,-133.4910
0,31,-132.1599,-133.3629
0,32,-132.1599,-133.4409
0,33,-132.1599,-133.7115
0,34,-132.1599,-133.3392
0,35,-132.1599,-133.6119
0,36,-132.1599,-133.2080
0,37,-132.1535,-133.3630
0,38,-132.1156,-133.4950
0,39,-132.1156,-133.2404
0,40,-132.1156,-133.3991
0,41,-132.1156,-133.2733
0,42,-132.1156,-133.2655
0,43,-132.1156,-132.9466
0,44,-132.1156,-133.2071
0,45,-132.1156,-133.1392
0,46,-132.1156,-133.3057
0,47,-132.1134,-133.2723
0,48,-132.1134,-132.9178
0,49,-132.1134,-133.2767
0,50,-132.1134,-133.2979
0,51,-132.0775,-133.1906
0,52,-132.0775,-133.5081
0,53,-132.0775,-132.9048
0,54,-132.0775,-133.1539
0,55,-132.0775,-133.6601
0,56,-132.0775,-133.2676
0,57,-132.0775,-133.0956
0,58,-132.0775,-132.6728
0,59,-132.0775,-132.9727
0,60,-132.0775,-133.0706
0,61,-132.0775,-133.9877
0,62,-132.0739,-133.3834
0,63,-132.0739,-133.0701
0,64,-132.0739,-133.4440
0,65,-132.0739,-132.9112
0,66,-132.0739,-133.4335
0,67,-132.0739,-133.4259
0,68,-132.0739,-133.3159
0,69,-132.0739,-133.0594
0,70,-132.0739,-133.4492
0,71,-132.0739,-133.3398
0,72,-132.0739,-133.0647
0,73,-132.0739,-133.0092
0,74,-132.0739,-133.1663
0,75,-132.0739,-133.5589
0,76,-132.0739,-132.6540
0,77,-132.0703,-133.1490
0,78,-132.0703,-132.8358
0,79,-132.0703,-133.3099
0,80,-132.0703,-133.2617
0,81,-132.0703,-133.2849
0,82,-132.0703,-133.2332
0,83,-132.0703,-133.0717
0,84,-132.0703,-132.7501
0,85,-132.0703,-133.3613
0,86,-132.0678,-133.2441
0,87,-132.0678,-133.2051
0,88,-132.0651,-133.2853
0,89,-132.0651,-133.0321
0,90,-132.0651,-132.9074
0,91,-132.0651,-133.0627
0,92,-132.0651,-133.2233
0,93,-132.0651,-133.1437
0,94,-132.0651,-133.0857
0,95,-132.0651,-133.1471
0,96,-132.0651,-132.9502
0,97,-132.0651,-132.8786
0,98,-132.0651,-133.0789
0,99,-132.0651,-133.2679
0,100,-132.0651,-133.0512
0,101,-132.0651,-133.2758
0,102,-132.0590,-133.1188
0,103,-132.0590,-133.0305
0,104,-132.0590,-133.1412
0,105,-132.0590,-133.2852
0,106,-132.0590,-133.3923
0,107,-132.0590,-133.3023
0,108,-132.0590,-133.2325
0,109,-132.0590,-133.0458
0,110,-132.0590,-133.3916
0,111,-132.0590,-133.3665
0,112,-132.0590,-132.7658
0,113,-132.0590,-133.2509
0,114,-132.0590,-133.4422
0,115,-132.0590,-133.2319
0,116,-132.0590,-133.3508
0,117,-132.0580,-132.9890
0,118,-132.0580,-133.3320
0,119,-132.0580,-133.1779
0,120,-132.0580,-133.3371
0,121,-132.0580,-132.9798
0,122,-132.0580,-133.3257
0,123,-132.0580,-133.1810
0,124,-132.0580,-133.2682
0,125,-132.0014,-133.0020
0,126,-132.0014,-133.3309
0,127,-132.0014,-133.2530
0,128,-132.0014,-132.7322
0,129,-132.0014,-132.9162
0,130,-132.0014,-132.9806
0,131,-132.0014,-133.1382
0,132,-132.0014,-132.8636
0,133,-132.0014,-133.0744
0,134,-132.0014,-132.9887
0,135,-132.0014,-132.9884
0,136,-132.0014,-133.0610
0,137,-132.0014,-132.9267
0,138,-132.0014,-133.3074
0,139,-132.0014,-133.1866
0,140,-132.0014,-132.9875
0,141,-132.0014,-133.5081
0,142,-132.0014,-133.2884
0,143,-132.0014,-133.2799
0,144,-132.0014,-133.2610
0,145,-132.0014,-133.5002
0,146,-132.0014,-133.1573
0,147,-132.0014,-133.1803
0,148,-132.0014,-133.0694
0,149,-132.0014,-133.5119
0,150,-132.0014,-133.2922
0,151,-132.0014,-133.1204
0,152,-132.0014,-133.1717
0,153,-132.0014,-133.0173
0,154,-132.0014,-133.5090
0,155,-132.0014,-133.0315
0,156,-132.0014,-133.0324
0,157,-132.0014,-133.2838
0,158,-132.0014,-133.3598
0,159,-132.0014,-133.1977
0,160,-132.0014,-133.1872
0,161,-132.0014,-132.9999
0,162,-132.0001,-133.2992
0,163,-131.9988,-132.9944
0,164,-131.9988,-133.0217
0,165,-131.9988,-133.1689
0,166,-131.9988,-133.2774
0,167,-131.9988,-132.9964
0,168,-131.9988,-133.1218
0,169,-131.9988,-132.9334
0,170,-131.9988,-133.4163
0,171,-131.9988,-133.2064
0,172,-131.9988,-133.0199
0,173,-131.9988,-132.8180
0,174,-131.9988,-133.0906
0,175,-131.9988,-132.7169
0,176,-131.9988,-133.1469
0,177,-131.9988,-132.7341
0,178,-131.9988,-132.9307
0,179,-131.9988,-133.4079
0,180,-131.9988,-132.7049
0,181,-131.9988,-133.3504
0,182,-131.9988,-133.2900
0,183,-131.9988,-133.0306
0,184,-131.9988,-133.2849
0,185,-131.9988,-133.2714
0,186,-131.9988,-132.6191
0,187,-131.9988,-132.9951
0,188,-131.9988,-132.9921
0,189,-131.9988,-133.1197
0,190,-131.9988,-132.7595
0,191,-131.9988,-133.1251
0,192,-131.9988,-133.4096
0,193,-131.9988,-132.9107
0,194,-131.9988,-132.9715
0,195,-131.9988,-132.8912
0,196,-131.9988,-133.2132
0,197,-131.9988,-133.3654
0,198,-131.9988,-133.0779
0,199,-131.9988,-133.0134
0,200,-131.9988,-133.3486
